tick,present_sequence,framebuffer_crc
3097,1,00000000
3209,2,00000000
3286,3,00000000
4121,4,00000000
4158,5,00000000
4195,6,00000000
4244,7,00000000
4285,8,00000000
4327,9,00000000
4369,10,00000000
4413,11,00000000
4461,12,00000000
4515,13,00000000
4557,14,00000000
4603,15,00000000
4651,16,00000000
4696,17,00000000
4745,18,00000000
4772,19,00000000
4806,20,00000000
4828,21,00000000
4871,22,00000000
4922,23,00000000
4975,24,00000000
5040,25,00000000
5095,26,00000000
5151,27,00000000
5207,28,00000000
5238,29,00000000
5282,30,00000000
5303,31,00000000
5391,32,00000000
5422,33,00000000
5494,34,00000000
